M-ce;10km;22km;33km;Cz. netto;Cz. brutto;min/km;km/h
180;01:20:28;02:54:29;05:00:06;06:50:02.150;06:50:25.000;09:06;6.6
181;01:32:03;03:16:04;05:05:06;06:50:08.300;06:50:34.300;09:06;6.6
182;01:35:22;03:23:44;05:14:56;06:50:59.150;06:51:06.100;09:08;6.6
183;01:34:01;03:24:14;05:14:33;06:52:36.400;06:52:58.950;09:10;6.5
184;01:25:27;03:05:55;05:01:45;06:52:44.300;06:53:01.650;09:10;6.5
185;01:33:10;03:10:43;05:00:17;06:52:32.500;06:53:03.000;09:10;6.5
186;01:28:48;03:14:34;05:08:58;06:53:30.450;06:54:04.150;09:11;6.5
187;01:29:03;03:13:06;05:05:51;06:54:00.850;06:54:06.700;09:12;6.5
188;01:32:28;03:19:23;05:11:22;06:55:09.400;06:55:25.350;09:13;6.5
189;01:34:30;03:23:46;05:14:08;06:57:00.050;06:57:18.050;09:16;6.5
190;01:25:15;03:08:04;05:10:40;06:57:33.950;06:57:43.700;09:16;6.5
191;01:36:32;03:20:12;05:13:04;06:57:55.900;06:58:09.300;09:17;6.5
192;01:30:15;03:12:55;05:14:16;06:59:26.300;06:59:39.050;09:19;6.4
193;01:26:39;03:12:51;05:15:39;06:59:34.800;06:59:48.550;09:19;6.4
194;01:23:09;03:10:54;05:07:56;07:00:38.200;07:00:51.250;09:20;6.4
195;01:32:12;03:17:21;05:16:40;07:00:50.300;07:01:18.150;09:21;6.4
196;01:37:34;03:22:19;05:19:31;07:04:09.650;07:04:43.650;09:25;6.4
197;01:27:45;03:14:00;05:11:11;07:05:15.650;07:05:30.950;09:27;6.3
198;01:31:02;03:15:46;05:14:39;07:04:44.250;07:06:38.500;09:26;6.4
199;01:41:37;03:34:21;05:22:43;07:07:49.200;07:08:25.200;09:30;6.3
200;01:34:22;03:22:23;05:16:41;07:08:08.550;07:08:36.700;09:30;6.3
201;01:19:34;03:11:04;05:33:47;07:09:38.250;07:09:48.650;09:32;6.3
202;01:24:45;03:19:31;05:24:43;07:10:59.050;07:11:12.000;09:34;6.3
203;01:37:20;03:23:28;05:24:03;07:11:03.950;07:11:43.000;09:34;6.3
204;01:36:39;03:25:50;05:22:42;07:12:27.100;07:12:54.850;09:36;6.2
205;01:36:19;03:28:46;05:21:21;07:12:18.600;07:12:54.950;09:36;6.2
206;01:38:12;03:23:31;05:16:40;07:12:31.750;07:13:01.000;09:36;6.2
207;01:30:37;03:16:59;05:22:39;07:14:02.100;07:14:13.800;09:38;6.2
208;01:27:56;03:12:45;05:19:28;07:15:39.100;07:16:16.100;09:40;6.2
209;01:25:19;03:08:49;05:11:08;07:16:35.900;07:16:46.300;09:42;6.2
210;01:30:32;03:16:54;05:24:33;07:17:39.750;07:17:49.950;09:43;6.2
211;01:38:16;03:28:49;05:28:10;07:17:59.950;07:18:14.350;09:44;6.2
212;01:25:57;03:10:15;05:11:40;07:19:12.150;07:19:20.000;09:45;6.1
213;01:43:12;03:36:36;05:37:25;07:20:25.050;07:20:31.850;09:47;6.1
