Id;5km;10km;15km;19.9km;Cz. netto;min/km;km/h;;;;;;;;
210;00:23:30;00:46:46;01:10:05;01:33:52;01:39:54.400;04:44;12.7;;;;;;;;
211;00:23:42;00:46:59;01:10:17;01:33:58;01:40:10.200;04:44;12.6;;;;;;;;
212;00:25:09;00:47:14;01:09:56;01:33:40;01:40:04.850;04:44;12.7;;;;;;;;
213;00:22:33;00:45:27;01:08:58;01:33:19;01:40:09.700;04:44;12.6;;;;;;;;
214;00:23:21;00:46:37;01:09:56;01:33:55;01:39:55.200;04:44;12.7;;;;;;;;
215;00:22:29;00:46:04;01:09:27;01:33:35;01:40:06.950;04:44;12.6;;;;;;;;
216;00:23:28;00:46:44;01:10:03;01:33:50;01:40:04.150;04:44;12.7;;;;;;;;
217;00:23:02;00:46:18;01:09:36;01:33:34;01:39:37.500;04:43;12.7;;;;;;;;
218;00:23:34;00:46:41;01:09:58;01:33:45;01:40:00.350;04:44;12.7;;;;;;;;
219;00:22:16;00:45:13;01:08:21;01:32:43;01:39:09.300;04:41;12.8;;;;;;;;
220;00:23:28;00:46:44;01:10:03;01:33:56;01:40:06.200;04:44;12.6;;;;;;;;
221;00:23:03;00:46:20;01:09:54;01:33:51;01:40:11.350;04:44;12.6;;;;;;;;
222;00:22:38;00:45:44;01:08:57;01:33:30;01:40:21.250;04:45;12.6;;;;;;;;
223;00:22:36;00:45:40;01:08:54;01:33:41;01:40:10.550;04:44;12.6;;;;;;;;
224;00:22:31;00:46:05;01:09:51;01:33:56;01:40:18.200;04:45;12.6;;;;;;;;
225;00:23:26;00:46:43;01:10:02;01:34:00;01:40:26.500;04:45;12.6;;;;;;;;
226;00:23:22;00:46:55;01:09:50;01:33:48;01:40:12.400;04:44;12.6;;;;;;;;
227;00:23:03;00:46:18;01:09:39;01:33:40;01:40:11.700;04:44;12.6;;;;;;;;
228;00:23:31;00:46:46;01:09:40;01:33:38;01:40:05.050;04:44;12.6;;;;;;;;
229;00:23:11;00:46:34;01:09:36;01:33:56;01:40:28.400;04:45;12.6;;;;;;;;
230;00:23:23;00:46:40;01:10:06;01:34:01;01:40:34.050;04:45;12.6;;;;;;;;
231;00:22:51;00:46:23;01:09:51;01:33:58;01:40:27.700;04:45;12.6;;;;;;;;
232;00:22:37;00:45:16;01:08:08;01:33:14;01:40:21.900;04:45;12.6;;;;;;;;
233;00:23:36;00:46:53;01:10:23;01:34:43;01:40:45.150;04:46;12.6;;;;;;;;
234;00:22:53;00:45:47;01:08:44;01:32:44;01:39:15.550;04:42;12.8;;;;;;;;
235;00:23:13;00:46:29;01:09:49;01:33:57;01:40:26.350;04:45;12.6;;;;;;;;
236;00:23:28;00:46:45;01:10:05;01:34:03;01:40:44.650;04:46;12.6;;;;;;;;
238;00:24:03;00:47:26;01:10:27;01:34:01;01:40:22.400;04:45;12.6;;;;;;;;
239;00:24:23;00:48:31;01:11:31;01:34:49;01:40:54.400;04:46;12.5;;;;;;;;
240;00:23:29;00:46:46;01:10:05;01:34:16;01:40:58.850;04:47;12.5;;;;;;;;
241;00:23:26;00:46:32;01:09:56;01:34:17;01:40:58.850;04:47;12.5;;;;;;;;
242;00:25:32;00:49:52;01:13:05;01:35:19;01:40:54.250;04:46;12.5;;;;;;;;
243;00:23:31;00:46:32;01:09:50;01:33:35;01:39:53.350;04:44;12.7;;;;;;;;
244;00:23:36;00:47:09;01:10:44;01:35:02;01:41:16.600;04:48;12.5;;;;;;;;
245;00:23:54;00:47:03;01:10:03;01:33:58;01:40:14.550;04:45;12.6;;;;;;;;
246;00:23:25;00:46:41;01:10:03;01:34:30;01:41:19.500;04:48;12.5;;;;;;;;
247;00:23:25;00:46:39;01:10:02;01:34:39;01:41:18.900;04:48;12.5;;;;;;;;
248;00:23:52;00:46:20;01:09:51;01:33:39;01:39:31.750;04:43;12.7;;;;;;;;
249;00:23:56;00:47:36;01:10:53;01:34:28;01:40:51.350;04:46;12.6;;;;;;;;
250;00:22:24;00:45:45;01:09:44;01:35:00;01:41:38.200;04:49;12.5;;;;;;;;
251;00:24:56;00:49:26;01:12:42;01:35:10;01:40:34.800;04:46;12.6;;;;;;;;
252;00:23:23;00:46:36;01:10:05;01:34:17;01:40:43.600;04:46;12.6;;;;;;;;
253;00:21:46;00:45:27;01:09:53;01:35:28;01:41:58.750;04:49;12.4;;;;;;;;
254;00:23:13;00:46:49;01:10:24;01:35:17;01:41:56.100;04:49;12.4;;;;;;;;
255;00:23:18;00:46:49;01:10:17;01:35:16;01:42:04.800;04:50;12.4;;;;;;;;
256;00:22:26;00:46:09;01:09:59;01:35:05;01:41:30.850;04:48;12.5;;;;;;;;
257;00:23:04;00:46:34;01:09:57;01:34:34;01:41:16.650;04:48;12.5;;;;;;;;
258;00:23:23;00:47:07;01:10:56;01:35:31;01:41:59.150;04:50;12.4;;;;;;;;
259;00:23:47;00:47:25;01:10:57;01:35:08;01:41:50.950;04:49;12.4;;;;;;;;
260;00:22:52;00:46:35;01:10:11;01:35:07;01:41:51.700;04:49;12.4;;;;;;;;
261;00:23:11;00:46:54;01:10:19;01:35:11;01:42:07.150;04:50;12.4;;;;;;;;
262;00:24:01;00:48:01;01:11:33;01:35:38;01:42:02.400;04:50;12.4;;;;;;;;
263;00:23:29;00:46:46;01:10:07;01:35:05;01:42:05.200;04:50;12.4;;;;;;;;
264;00:22:55;00:46:07;01:09:53;01:34:58;01:42:17.350;04:50;12.4;;;;;;;;
265;00:22:51;00:45:59;01:09:23;01:35:08;01:41:56.300;04:49;12.4;;;;;;;;
266;00:23:22;00:46:52;01:10:14;01:34:26;01:41:03.400;04:47;12.5;;;;;;;;
267;00:21:47;00:45:14;01:09:26;01:35:40;01:42:32.450;04:51;12.3;;;;;;;;
268;00:24:04;00:47:43;01:11:01;01:35:42;01:42:18.950;04:50;12.4;;;;;;;;
269;00:23:25;00:47:19;01:10:49;01:35:16;01:41:35.150;04:48;12.5;;;;;;;;
270;00:23:58;00:48:01;01:12:00;01:36:24;01:42:18.550;04:50;12.4;;;;;;;;
271;00:23:23;00:46:24;01:10:47;01:36:38;01:42:39.650;04:51;12.3;;;;;;;;
272;00:23:34;00:48:05;01:12:02;01:36:20;01:42:37.550;04:51;12.3;;;;;;;;
273;00:22:51;00:45:49;01:09:10;01:35:28;01:42:41.600;04:51;12.3;;;;;;;;
274;00:24:03;00:48:11;01:11:20;01:36:13;01:42:32.450;04:51;12.3;;;;;;;;
275;00:23:47;00:47:22;01:11:01;01:36:19;01:42:46.000;04:52;12.3;;;;;;;;
276;00:23:46;00:46:56;01:11:01;01:35:45;01:42:28.150;04:51;12.4;;;;;;;;
277;00:23:26;00:47:26;01:11:31;01:36:28;01:43:01.150;04:52;12.3;;;;;;;;
278;00:23:55;00:47:45;01:12:03;01:36:41;01:42:59.150;04:52;12.3;;;;;;;;
279;00:23:44;00:47:47;01:11:38;01:36:10;01:42:34.700;04:51;12.3;;;;;;;;
280;00:25:49;00:50:31;01:13:43;01:35:48;01:41:48.500;04:49;12.4;;;;;;;;
281;00:25:29;00:50:02;01:13:34;01:36:48;01:43:00.100;04:52;12.3;;;;;;;;
